Actual,Predicted
0,0.0
2,2.0
1,1.06
1,1.0
2,1.94
2,2.0
1,1.0
2,2.0
1,1.0
2,2.0
0,0.0
1,1.0
2,2.0
1,1.06
2,2.0
2,2.0
3,3.0
3,3.0
3,3.0
1,1.0
1,1.06
1,1.0
2,2.0
1,1.0
3,3.0
1,1.0
0,0.0
1,1.04
1,1.0
1,1.0
1,1.0
2,1.06
1,1.0
1,1.0
2,1.06
1,1.0
2,2.0
1,1.06
3,1.06
0,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,1.06
3,3.0
1,1.0
2,1.06
2,2.0
2,2.0
3,3.0
1,1.06
3,3.0
1,1.0
1,1.0
3,3.0
3,3.0
2,2.0
1,1.06
3,3.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
2,2.0
3,3.0
2,2.0
0,0.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
2,2.0
2,2.0
3,3.0
0,0.0
1,1.0
1,1.0
1,1.06
2,2.0
1,1.0
2,1.06
2,2.0
1,1.06
2,2.0
1,1.0
2,2.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.06
1,1.0
1,1.0
3,3.0
1,1.0
1,1.06
1,1.0
2,2.0
1,1.0
2,2.0
2,2.0
1,1.06
2,2.0
2,2.0
2,2.0
0,0.0
1,1.0
2,2.0
0,0.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.06
1,1.0
1,1.0
1,1.0
3,3.0
1,1.04
1,1.0
3,3.0
1,1.06
0,0.0
2,2.0
2,1.06
2,2.0
1,1.06
2,2.0
2,2.0
2,1.0
1,1.0
1,1.06
2,1.06
1,1.0
0,0.0
0,0.0
1,1.06
2,2.0
2,1.06
1,1.0
1,1.0
2,1.06
2,2.0
1,1.0
1,1.0
2,1.94
2,2.0
1,1.0
1,1.0
1,1.0
2,2.0
1,1.0
2,1.06
1,1.0
2,2.0
0,0.0
1,1.06
1,1.0
1,1.0
2,1.0
1,1.04
1,1.06
2,1.0
1,1.0
2,2.0
3,3.0
1,1.0
1,1.06
0,0.0
1,1.0
2,2.0
2,2.0
2,2.0
1,1.0
3,1.06
1,1.0
2,1.06
1,1.0
1,1.0
3,3.0
1,1.06
2,1.06
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.06
2,2.0
3,1.0
0,0.0
1,1.0
2,2.0
2,2.0
2,2.0
2,2.0
2,2.0
2,2.0
3,1.0
2,2.0
2,2.0
1,1.0
1,1.0
0,0.0
1,1.0
1,1.0
0,0.0
2,2.0
1,1.06
0,0.0
1,1.0
1,1.0
0,0.0
3,1.04
0,0.0
1,1.0
2,2.0
1,1.0
1,1.06
1,1.0
1,1.0
1,1.0
1,1.0
2,2.0
2,2.0
2,1.0
2,2.0
2,1.06
1,1.0
1,1.06
1,1.06
1,1.0
2,1.06
2,1.0
1,1.0
3,3.0
2,2.0
2,2.0
3,1.0
3,3.0
2,2.0
2,1.0
2,2.0
1,1.0
1,1.0
0,0.0
1,1.0
1,1.06
2,1.06
1,1.0
1,1.0
2,2.0
2,2.0
0,0.0
1,1.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,3.0
1,1.0
1,1.06
1,1.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.06
2,2.0
1,1.04
1,1.06
1,1.0
0,0.0
3,1.0
2,1.06
1,1.0
1,1.0
3,3.0
3,3.0
1,1.0
2,2.0
2,2.0
1,1.0
1,1.0
3,3.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
2,1.0
1,1.0
2,2.0
0,0.0
1,1.0
1,1.0
2,1.94
2,2.0
1,1.0
1,1.06
2,2.0
1,1.06
1,1.0
2,2.0
1,1.0
0,0.0
1,1.06
2,2.0
0,0.0
1,1.06
1,1.0
1,1.0
2,2.0
2,2.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
2,2.0
1,1.06
1,1.0
1,1.0
1,1.0
2,2.0
1,1.06
1,1.0
2,2.0
1,1.0
1,1.0
1,1.06
1,1.0
1,1.0
2,2.0
2,2.0
3,3.0
3,3.0
1,1.06
3,3.0
0,1.0
1,1.0
1,1.0
1,1.0
3,1.04
2,2.0
0,0.0
1,1.0
1,1.0
1,1.0
1,1.0
3,3.0
3,1.04
0,0.0
2,1.06
2,2.0
1,1.0
1,1.0
2,2.0
1,1.04
1,1.0
1,1.06
1,1.0
1,1.0
3,3.0
3,3.0
1,1.0
1,1.0
1,1.0
1,1.06
1,1.0
2,2.0
3,3.0
1,1.0
3,1.0
3,3.0
0,0.0
1,1.0
1,1.0
1,1.0
1,1.06
1,1.0
1,1.06
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
3,3.0
2,1.06
1,1.0
1,1.0
2,1.0
2,2.0
3,3.0
1,1.0
3,3.0
1,1.06
1,1.06
2,2.0
1,1.0
3,3.0
1,1.06
1,1.0
2,2.0
1,1.0
2,1.06
1,1.0
3,3.0
2,1.94
1,1.0
3,1.06
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
2,2.0
3,1.0
1,1.0
1,1.0
2,2.0
1,1.0
2,2.0
2,1.06
1,1.0
1,1.0
1,1.0
3,1.06
2,2.0
2,2.0
2,2.0
1,1.0
1,1.0
2,2.0
1,1.0
1,1.06
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
3,3.0
1,1.04
3,3.0
1,1.06
3,1.06
2,2.0
2,1.06
1,1.0
1,1.0
3,1.0
1,1.0
1,1.0
1,1.0
0,0.0
2,2.0
1,1.0
2,2.0
1,1.06
1,1.0
2,2.0
2,1.94
1,1.0
2,2.0
1,1.0
0,0.0
0,0.0
1,1.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
0,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.06
2,2.0
1,1.0
3,1.06
2,2.0
1,1.0
1,1.0
2,2.0
2,1.06
1,1.0
2,2.0
3,3.0
1,1.0
2,1.0
1,1.0
2,1.0
1,1.0
1,1.0
0,0.0
3,3.0
2,1.0
1,1.0
1,1.0
2,2.0
2,2.0
2,1.0
2,2.0
3,1.06
1,1.0
1,1.06
3,1.0
3,3.0
2,1.04
1,1.0
1,1.0
2,1.06
0,0.0
0,0.0
1,1.06
1,1.0
1,1.06
3,1.06
1,1.0
3,1.0
2,2.0
2,1.0
3,1.06
1,1.0
1,1.0
3,3.0
2,1.0
1,1.0
2,1.0
1,1.06
2,2.0
1,1.0
1,1.06
1,1.0
3,3.0
1,1.0
1,1.06
1,1.0
2,2.0
1,1.0
2,1.94
0,0.0
1,1.0
2,2.0
0,0.0
3,1.04
1,1.06
2,1.0
3,3.0
2,2.0
3,3.0
1,1.0
1,1.0
1,1.06
3,1.06
2,2.0
0,0.0
1,1.0
1,1.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
3,3.0
1,1.0
2,1.06
2,2.0
1,1.06
2,1.0
1,1.0
2,2.0
3,3.0
1,1.0
2,2.0
2,2.0
1,1.06
1,1.0
0,0.0
1,1.0
1,1.06
1,1.0
1,1.06
1,1.06
2,1.06
1,1.0
1,1.06
3,1.06
2,1.0
1,1.0
3,1.06
1,1.0
1,1.0
2,2.0
3,3.0
1,1.0
3,3.0
1,1.0
1,1.0
3,1.06
0,0.0
3,3.0
1,1.0
2,1.06
2,2.0
2,2.0
2,2.0
2,2.0
1,1.0
1,1.0
1,1.06
1,1.0
2,2.0
2,2.0
3,3.0
3,3.0
0,0.0
1,1.0
2,2.0
1,1.0
1,1.06
1,1.0
2,1.0
1,1.06
2,1.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.06
3,3.0
1,1.06
2,2.0
3,1.06
2,2.0
0,0.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
2,2.0
3,3.0
2,2.0
1,1.06
1,1.0
2,1.06
2,2.0
1,1.0
1,1.06
1,1.06
0,0.0
3,3.0
2,2.0
2,2.0
2,1.0
3,3.0
2,1.0
1,1.0
1,1.0
3,3.0
2,2.0
1,1.0
2,2.0
1,1.0
1,1.06
2,1.94
2,2.0
2,2.0
0,0.0
2,2.0
1,1.0
3,3.0
2,2.0
3,3.0
2,2.0
1,1.0
0,0.0
1,1.06
2,2.0
2,1.06
1,1.04
2,2.0
1,1.06
2,2.0
2,2.0
2,1.06
1,1.0
3,3.0
0,0.0
2,1.0
0,0.0
2,1.0
2,1.06
3,1.06
0,0.0
1,1.0
1,1.0
1,1.06
1,1.0
0,1.06
2,2.0
2,2.0
1,1.06
2,1.0
1,1.0
1,1.0
1,1.06
1,1.0
2,2.0
2,2.0
1,1.0
2,2.0
2,1.0
0,0.0
1,1.0
1,1.0
2,2.0
0,0.0
2,2.0
1,1.06
1,1.0
1,1.0
2,2.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
2,2.0
2,2.0
1,1.0
1,1.0
1,1.06
1,1.06
2,1.0
2,1.0
2,1.06
2,2.0
1,1.06
3,3.0
2,1.0
2,2.0
2,2.0
0,0.0
1,1.0
1,1.06
1,1.0
1,1.06
0,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,2.0
2,2.0
1,1.0
1,1.06
1,1.0
2,2.0
1,1.06
1,1.06
2,2.0
1,1.0
1,1.0
2,2.0
2,1.0
1,1.0
0,0.0
1,1.0
1,1.0
1,1.0
1,1.06
2,2.0
1,1.0
1,1.0
1,1.06
1,1.0
2,2.0
1,1.06
1,1.0
0,0.0
1,1.0
2,2.0
2,2.0
1,1.0
1,1.06
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
0,0.0
1,1.0
1,1.0
3,1.06
2,2.0
1,1.0
2,2.0
3,3.0
0,0.0
2,2.0
2,2.0
3,3.0
2,2.0
2,2.0
2,1.94
2,1.94
1,1.0
2,1.06
1,1.0
1,1.0
1,1.0
2,1.94
0,0.0
2,1.06
1,1.0
3,3.0
1,1.0
1,1.0
1,1.0
1,1.06
1,1.0
1,1.0
2,1.06
1,1.0
3,3.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.06
1,1.0
1,1.0
1,1.06
2,2.0
1,1.06
1,1.0
1,1.0
2,1.06
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
3,3.0
2,2.0
2,2.0
2,1.06
1,1.0
2,1.0
1,1.0
2,2.0
1,1.0
0,0.0
1,1.0
1,1.0
1,1.06
1,1.0
2,2.0
1,1.06
1,1.0
1,1.0
3,3.0
2,1.0
3,1.06
1,1.0
1,1.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
2,2.0
2,1.0
1,1.0
1,1.06
1,1.06
1,1.0
0,0.0
1,1.0
1,1.0
1,1.0
2,1.0
2,2.0
3,3.0
2,1.06
2,2.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.06
2,1.0
2,2.0
1,1.0
2,2.0
1,1.0
0,0.0
3,3.0
2,1.06
2,2.0
1,1.0
1,1.0
1,1.0
3,3.0
1,1.06
2,2.0
1,1.0
1,1.0
1,1.06
2,2.0
2,1.06
2,2.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
3,3.0
1,1.0
0,0.0
1,1.0
2,2.0
2,2.0
2,1.0
0,0.0
1,1.0
2,2.0
0,1.06
3,3.0
2,2.0
1,1.0
0,0.0
2,1.0
2,2.0
1,1.0
2,2.0
3,3.0
3,3.0
1,1.0
1,1.0
1,1.06
3,3.0
1,1.06
2,2.0
1,1.06
3,1.06
3,3.0
1,1.0
1,1.0
2,2.0
3,3.0
2,2.0
2,2.0
1,1.06
2,1.0
2,2.0
1,1.06
2,2.0
0,0.0
1,1.0
1,1.06
0,0.0
3,3.0
2,2.0
1,1.0
1,1.0
0,0.0
1,1.0
2,2.0
2,2.0
1,1.06
0,0.0
1,1.0
3,3.0
1,1.0
0,0.0
2,1.06
2,2.0
1,1.0
3,3.0
1,1.0
1,1.0
1,1.06
3,1.0
3,3.0
3,3.0
1,1.0
2,2.0
1,1.0
2,1.0
1,1.06
1,1.0
2,2.0
2,2.0
2,2.0
0,0.0
2,1.0
0,0.0
1,1.0
2,2.0
1,1.06
0,0.0
2,2.0
1,1.0
2,2.0
1,1.0
2,1.06
1,1.0
1,1.0
2,2.0
2,2.0
1,1.06
1,1.0
2,1.06
2,2.0
1,1.0
0,0.0
1,1.0
3,3.0
1,1.0
3,3.0
3,3.0
2,2.0
1,1.0
3,1.06
1,1.06
1,1.0
2,1.06
1,1.0
1,1.0
2,2.0
1,1.0
2,2.0
3,3.0
2,2.0
1,1.06
1,1.0
1,1.0
3,3.0
1,1.06
1,1.0
1,1.0
2,2.0
1,1.0
2,2.0
2,2.0
3,1.0
1,1.0
1,1.0
3,1.06
1,1.0
1,1.0
1,1.0
2,2.0
3,3.0
2,2.0
1,1.06
2,1.0
1,1.0
1,1.0
3,1.06
1,1.0
2,2.0
1,1.06
1,1.06
3,3.0
1,1.06
1,1.06
1,1.0
2,2.0
1,1.0
1,1.0
1,1.06
1,1.0
2,2.0
1,1.06
2,1.0
3,3.0
2,2.0
2,1.06
0,0.0
1,1.0
2,2.0
2,1.06
1,1.0
2,2.0
1,1.06
2,2.0
2,2.0
2,1.0
1,1.0
1,1.0
1,1.0
2,1.0
2,1.04
1,1.0
1,1.06
2,1.06
1,1.06
1,1.06
1,1.06
2,2.0
1,1.06
3,3.0
2,2.0
1,1.0
3,3.0
2,2.0
1,1.0
1,1.0
2,1.98
1,1.0
0,1.0
2,2.0
2,2.0
0,0.0
1,1.06
2,1.0
2,1.06
3,1.06
3,3.0
2,1.06
2,1.06
0,0.0
2,2.0
1,1.0
0,0.0
0,0.0
1,1.0
1,1.0
1,1.0
2,2.0
2,2.0
2,1.0
0,0.0
2,2.0
1,1.0
2,1.06
1,1.0
1,1.0
2,2.0
1,1.06
2,2.0
2,1.06
2,1.98
2,2.0
1,1.06
2,1.06
1,1.0
2,2.0
2,1.06
1,1.06
3,3.0
3,3.0
1,1.0
2,2.0
2,2.0
1,1.0
1,1.06
1,1.0
1,1.0
2,1.0
1,1.0
2,2.0
2,2.0
2,2.0
1,1.0
1,1.06
2,2.0
1,1.0
1,1.0
1,1.06
1,1.0
1,1.0
2,2.0
1,1.0
1,1.0
3,3.0
2,2.0
3,1.06
1,1.0
1,1.0
3,3.0
2,2.0
1,1.06
2,2.0
3,3.0
2,2.0
1,1.0
2,2.0
2,2.0
1,1.06
1,1.0
1,1.0
2,2.0
1,1.0
2,2.0
2,2.0
0,0.0
1,1.0
2,2.0
2,2.0
3,1.0
1,1.0
1,1.0
2,2.0
2,2.0
1,1.0
2,1.0
3,3.0
3,3.0
2,2.0
3,3.0
1,1.0
2,2.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.06
1,1.06
1,1.0
1,1.0
1,1.0
1,1.0
2,2.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
2,1.06
2,1.0
0,0.0
0,0.0
1,1.0
1,1.0
1,1.0
1,1.06
2,2.0
3,3.0
1,1.0
1,1.0
1,1.0
2,1.94
1,1.0
0,0.0
3,1.06
0,0.0
1,1.0
2,2.0
0,0.0
1,1.06
1,1.0
1,1.0
1,1.0
2,1.94
1,1.06
2,2.0
1,1.0
2,2.0
0,0.0
1,1.0
3,1.06
1,1.06
3,3.0
2,1.0
2,2.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.06
1,1.0
1,1.0
0,0.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.06
1,1.0
1,1.0
2,2.0
2,2.0
2,1.06
0,0.0
1,1.0
3,3.0
2,2.0
1,1.06
1,1.0
1,1.0
1,1.0
1,1.0
3,3.0
1,1.0
1,1.0
1,1.06
1,1.0
1,1.0
1,1.0
1,1.06
1,1.0
1,1.0
2,1.98
1,1.0
2,2.0
2,2.0
3,3.0
1,1.0
1,1.0
3,3.0
1,1.06
1,1.0
1,1.0
1,1.06
1,1.0
2,2.0
1,1.0
3,3.0
1,1.0
1,1.0
1,1.0
0,0.0
1,1.06
1,1.0
1,1.06
2,2.0
1,1.0
2,2.0
2,2.0
1,1.0
1,1.0
2,2.0
1,1.0
2,1.06
1,1.0
1,1.0
0,0.0
2,1.06
1,1.0
2,2.0
2,2.0
2,1.06
1,1.0
1,1.0
2,2.0
2,1.06
1,1.0
0,0.0
1,1.0
0,0.0
2,1.06
1,1.06
2,2.0
1,1.0
1,1.0
2,2.0
2,2.0
1,1.0
2,2.0
1,1.0
1,1.0
0,0.0
1,1.06
3,1.06
3,3.0
1,1.0
0,0.0
2,2.0
3,3.0
0,0.0
0,0.0
1,1.0
2,1.06
1,1.06
1,1.0
1,1.0
1,1.0
1,1.06
2,1.94
2,2.0
3,3.0
3,3.0
2,2.0
1,1.06
1,1.0
1,1.0
2,1.06
1,1.0
2,2.0
1,1.06
3,1.0
2,1.94
1,1.0
2,2.0
2,2.0
1,1.0
2,2.0
2,1.94
0,0.0
3,1.06
1,1.06
1,1.0
1,1.0
1,1.0
1,1.06
1,1.0
3,3.0
2,2.0
1,1.06
2,2.0
1,1.06
1,1.06
2,2.0
2,2.0
1,1.0
1,1.0
3,3.0
2,2.0
1,1.0
1,1.0
1,1.0
2,2.0
1,1.0
1,1.0
1,1.0
2,2.0
2,1.0
1,1.0
3,3.0
2,1.06
2,1.0
1,1.06
1,1.0
1,1.06
2,2.0
2,2.0
1,1.0
1,1.0
1,1.0
2,2.0
1,1.06
2,1.06
0,0.0
1,1.0
2,2.0
2,2.0
0,0.0
0,0.0
1,1.0
2,1.06
3,3.0
1,1.0
3,1.06
2,2.0
1,1.0
2,1.0
0,0.0
2,2.0
2,2.0
2,2.0
1,1.0
2,1.0
1,1.06
1,1.0
1,1.0
0,0.0
1,1.0
2,2.0
1,1.0
1,1.06
1,1.06
3,3.0
2,2.0
1,1.0
0,0.0
2,2.0
1,1.0
1,1.06
0,0.0
2,2.0
2,1.06
2,2.0
2,2.0
2,2.0
1,1.0
1,1.06
2,1.0
2,1.06
1,1.0
1,1.0
2,1.94
3,3.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.06
1,1.0
2,2.0
1,1.0
1,1.0
2,1.0
2,2.0
2,1.06
1,1.0
3,3.0
1,1.0
2,2.0
1,1.04
3,3.0
2,2.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,1.06
1,1.0
2,2.0
3,3.0
1,1.06
1,1.0
1,1.06
3,3.0
2,1.0
1,1.0
1,1.0
2,2.0
1,1.0
2,1.06
3,3.0
1,1.0
1,1.0
2,2.0
0,0.0
1,1.0
1,1.0
1,1.0
1,1.0
2,2.0
3,3.0
1,1.0
3,3.0
3,1.06
0,1.0
2,1.06
1,1.0
1,1.0
1,1.0
1,1.0
0,0.0
1,1.0
2,2.0
2,2.0
2,2.0
1,1.0
1,1.0
2,2.0
1,1.0
1,1.0
0,0.0
2,2.0
1,1.0
1,1.0
1,1.06
0,0.0
2,2.0
1,1.0
1,1.0
2,1.06
2,2.0
1,1.0
1,1.0
2,1.06
2,1.0
2,2.0
3,3.0
1,1.0
1,1.0
3,3.0
0,0.0
2,1.0
1,1.0
0,0.0
1,1.0
1,1.0
1,1.0
2,1.0
1,1.0
1,1.0
1,1.0
2,2.0
1,1.0
2,2.0
